,info,wfm,wfm_year,wfm_month,wfm_day,act_year,act_month,act_day,day_of_week
306,"TFM Richmond, 4pm-7pm",False,NULL,NULL,NULL,2014,4,27,Sunday
307,WFM Brighton 4pm-7pm MIRUS,True,2014,4,28,2014,4,29,Tuesday
308,"TFM Sarasota, FL 1pm-4pm",False,NULL,NULL,NULL,2014,5,2,Friday
309,"TFM Wilmette, IL 4pm-7pm",False,NULL,NULL,NULL,2014,5,2,Friday
310,WFM University Heights 2pm-5pm,True,2014,4,28,2014,5,3,Saturday
311,TFM Boca Raton 12pm-3pm,False,NULL,NULL,NULL,2014,5,3,Saturday
312,TFM Boca Raton (2) 4pm-7pm,False,NULL,NULL,NULL,2014,5,3,Saturday
313,"Vintage on 4th, CA 5:30pm-8:30pm",False,NULL,NULL,NULL,2014,5,3,Saturday
314,"TFM New Orleans, LA 4pm-7pm",False,NULL,NULL,NULL,2014,5,9,Friday
315,"Macys Chicago, IL 4pm-7pm",False,NULL,NULL,NULL,2014,5,9,Friday
316,"TFM Lafayette, LA 3pm-6pm",False,NULL,NULL,NULL,2014,5,9,Friday
317,"TFM Mandeville, LA 11am-3pm",False,NULL,NULL,NULL,2014,5,10,Saturday
318,TFM Hilton Head 2pm-6pm,False,NULL,NULL,NULL,2014,5,10,Saturday
319,"TFM Towson, MD 12pm-4pm",False,NULL,NULL,NULL,2014,5,10,Saturday
320,Gourmet Garage Soho 1pm-4pm AMANDA M,False,NULL,NULL,NULL,2014,5,11,Sunday
321,"TFM Latham, NY 1pm-4pm",False,NULL,NULL,NULL,2014,5,17,Saturday
322,BYOB Cocktail Emporium (Toronto)  1pm-4pm,False,NULL,NULL,NULL,2014,5,24,Saturday
323,"Plum Market, 12pm-4pm",False,NULL,NULL,NULL,2014,5,24,Saturday
324,"TFM Southern Pines, 12pm-4pm",False,NULL,NULL,NULL,2014,5,24,Saturday
325,"TFM Asheville, NC 2pm-5pm",False,NULL,NULL,NULL,2014,5,24,Saturday
326,Fairway Chelsea 3pm-6pm,False,NULL,NULL,NULL,2014,5,30,Friday
327,Foragers Market Chelsea 11am-2pm,False,NULL,NULL,NULL,2014,6,22,Sunday
328,Di Bruno Bros. Franklin 5pm-7pm,False,NULL,NULL,NULL,2014,6,26,Thursday
329,Union Market Houston 4pm-7pm,False,NULL,NULL,NULL,2014,7,2,Wednesday
330,"Williams-Sonoma Costa Mesa, CA 1pm-4pm (Mirus)",False,NULL,NULL,NULL,2014,7,5,Saturday
331,Union Market 2pm-5pm,False,NULL,NULL,NULL,2014,7,12,Saturday
332,Bantam Market 2pm-5pm (Nina),False,NULL,NULL,NULL,2014,7,12,Saturday
333,"TFM Westport CT, 11am-1pm",False,NULL,NULL,NULL,2014,7,12,Saturday
334,Foragers Chelsea 2pm-5pm,False,NULL,NULL,NULL,2014,7,13,Sunday
335,Plum Market Old Town Chicago,False,NULL,NULL,NULL,2014,7,19,Saturday
336,Williams-Sonoma Beverly Hills 1pm-5pm,False,NULL,NULL,NULL,2014,7,19,Saturday
337,WS Columbus Circle 4pm-7pm,False,NULL,NULL,NULL,2014,7,22,Tuesday
338,local night @ WFM West Hartford 3pm-6pm,True,2014,7,21,2014,7,24,Thursday
339,WFM Melrose block party 4pm-6pm,True,2014,7,21,2014,7,24,Thursday
340,Plum Market West Bloomfield,False,NULL,NULL,NULL,2014,7,26,Saturday
341,Northville Market 1pm-4pm,False,NULL,NULL,NULL,2014,7,26,Saturday
342,TFM Ashville 2pm-5pm,False,NULL,NULL,NULL,2014,7,26,Saturday
343,TFM Tampa 12pm-3pm,False,NULL,NULL,NULL,2014,7,26,Saturday
344,"BB&B Shaumburg, 61st St 12pm-4pm",False,NULL,NULL,NULL,2014,7,26,Saturday
345,Salazon Chocolate Co. 12pm-3pm,False,NULL,NULL,NULL,2014,7,27,Sunday
346,Volta Market 6pm-9pm,False,NULL,NULL,NULL,2014,8,9,Saturday
347,"BB&B Farmington Hills, 61st St. 12pm-4pm",False,NULL,NULL,NULL,2014,8,9,Saturday
348,Williams-Sonoma King of Prussia 12pm-3pm,False,NULL,NULL,NULL,2014,8,9,Saturday
349,Woodstock Farmers Market 12pm-4pm,False,NULL,NULL,NULL,2014,8,10,Sunday
350,"BB&B Woodbridge, Tysons Corner, West LA 12pm-4pm",False,NULL,NULL,NULL,2014,8,10,Sunday
351,"TFM Raleigh, NC 3pm-6pm",False,NULL,NULL,NULL,2014,8,17,Sunday
352,Williams-Sonoma Salt Lake City 1pm-4pm,False,NULL,NULL,NULL,2014,8,23,Saturday
353,Williams-Sonoma San Fran CA 2pm-5pm,False,NULL,NULL,NULL,2014,8,24,Sunday
354,"WFM Darien, CT 11am-3pm",True,2014,8,25,2014,8,28,Thursday
355,"TFM Savannah, GA 1pm-4pm",False,NULL,NULL,NULL,2014,8,30,Saturday
356,"Williams-Sonoma San Fran, CA 1pm-4pm",False,NULL,NULL,NULL,2014,9,13,Saturday
